Column1;model_name;sigma;AIC;AICc;BIC;df.residual
1;beta;0.6276823947707;235.665058737679;236.408421569538;252.390009194372;115
2;boatman;0.626891317461538;235.362392457476;236.105755289334;252.087342914168;115
3;briere2;0.625472433316743;233.857536612262;234.383852401736;247.794995326172;116
4;delong;0.631910967623352;237.276469733433;238.019832565291;254.001420190125;115
5;flinn;0.633080806130034;235.789380809815;236.137206896772;246.939347780943;117
6;gaussian;0.626254399340247;233.187446599855;233.535272686812;244.337413570983;117
7;hinshelwood;0.642790793015034;240.412429334964;240.938745124437;254.349888048874;116
8;joehnk;0.627577945055788;235.625118128004;236.368480959863;252.350068584697;115
9;kamykowski;0.627510204396792;235.599211169705;236.342574001564;252.324161626397;115
10;lactin2;0.626003132567965;234.061084857869;234.587400647343;247.998543571779;116
11;modifiedgaussian;0.628909996552456;235.172952425224;235.699268214697;249.110411139134;116
12;oneill;0.628805507205886;235.133074657701;235.659390447174;249.070533371611;116
13;pawar;0.631389294252987;236.117223710718;236.643539500191;250.054682424628;116
14;quadratic;0.631727014455425;235.275610858845;235.623436945801;246.425577829973;117
15;ratkowsky;0.626470935802853;234.240366464457;234.766682253931;248.177825178367;116
16;rezende;0.637628012030974;238.477009226766;239.003325016239;252.414467940676;116
17;sharpeschoolhigh;0.631389294252987;236.117223710718;236.643539500191;250.054682424628;116
18;spain;0.640128865233765;239.416476735422;239.942792524896;253.353935449332;116
19;thomas1;0.625085414377261;233.708987628922;234.235303418396;247.646446342833;116
20;thomas2;0.627604389313707;235.63523079726;236.378593629118;252.360181253952;115
21;weibull;0.62793795411959;234.801721791834;235.328037581307;248.739180505744;116
