",""param"",""conf_lower"",""conf_upper"",""method"",""estimate"""
"1,""rmax"",1.41514571263809,1.88453296591423,""case bootstrap"",1.6140526451995"
"2,""topt"",28.3342460668954,31.0504225378425,""case bootstrap"",29.847"
"3,""ctmin"",5.50032167253825,11.8719639408929,""case bootstrap"",9.312"
"4,""ctmax"",47.6316698391851,56.6995300730891,""case bootstrap"",50.382"
"5,""e"",0.591863649474675,0.987295174032536,""case bootstrap"",0.748190642283066"
"6,""eh"",0.16796224184331,1.2704596859312,""case bootstrap"",0.787189961410885"
"7,""q10"",2.19841647040648,3.70388213520841,""case bootstrap"",2.6989105686951"
"8,""thermal_safety_margin"",18.0572910696044,25.9125018194917,""case bootstrap"",20.535"
"9,""thermal_tolerance"",36.1151109431387,51.8248682753794,""case bootstrap"",41.07"
"10,""breadth"",9.86941188666407,13.7750801340518,""case bootstrap"",11.211"
"11,""skewness"",-0.543262540362632,0.613357152506972,""case bootstrap"",-0.0389993191278186"
