;model_name;sigma;AIC;delta AIC ;rel weighted AIC ;AIC weight ;AICc;Weighted AICc;BIC;Delta BIC ;rel Weighted BIC ;Weighted BIC ;df,residual
6;gaussian;0,626254399;233,1874466;0;1;0,12834545;233,5352727;0;244,3374136;0;1;0,351164496;117
19;thomas1;0,625085414;233,7089876;0,521541;0,770457719;0,098884742;234,2353034;0,7000307;247,6464463;3,3090328;0,19118449;0,067137205;116
3;briere2;0,625472433;233,8575366;0,67009;0,715305897;0,091806257;234,3838524;0,8485797;247,7949953;3,4575818;0,177498894;0,06233131;116
10;lactin2;0,626003133;234,0610849;0,8736383;0,646088266;0,082922489;234,5874006;1,052128;247,9985436;3,66113;0,16032296;0,056299731;116
15;ratkowsky;0,626470936;234,2403665;1,0529199;0,590692353;0,075812676;234,7666823;1,2314096;248,1778252;3,8404116;0,146576794;0,051472566;116
21;weibull;0,627937954;234,8017218;1,6142752;0,446133252;0,057259173;235,3280376;1,7927649;248,7391805;4,4017669;0,110705313;0,038875775;116
12;oneill;0,628805507;235,1330747;1,9456281;0,378017779;0,048516862;235,6593904;2,1241178;249,0705334;4,7331198;0,093802863;0,032940235;116
11;modifiedgaussian;0,628909997;235,1729524;1,9855058;0,370555184;0,047559072;235,6992682;2,1639955;249,1104111;4,7729976;0,09195106;0,032289948;116
14;quadratic;0,631727014;235,2756109;2,0881643;0,352014768;0,045179494;235,6234369;2,0881643;246,4255778;2,0881643;0,352014768;0,123615089;117
2;boatman;0,626891317;235,3623925;2,1749459;0,337067204;0,043261042;236,1057553;2,5704826;252,0873429;7,7499293;0,020755072;0,007288444;115
9;kamykowski;0,627510204;235,5992112;2,4117646;0,299427698;0,038430183;236,342574;2,8073013;252,3241616;7,9867481;0,0184374;0,00647456;115
8;joehnk;0,627577945;235,6251181;2,4376715;0,295574089;0,037935589;236,368481;2,8332083;252,3500686;8,012655;0,018200113;0,006391233;115
20;thomas2;0,627604389;235,6352308;2,4477842;0,294083335;0,037744258;236,3785936;2,8433209;252,3601813;8,0227677;0,018108319;0,006358999;115
1;beta;0,627682395;235,6650587;2,4776121;0,289729935;0,037185519;236,4084216;2,8731489;252,3900092;8,0525956;0,017840256;0,006264865;115
5;flinn;0,633080806;235,7893808;2,6019342;0,272268355;0,034944404;236,1372069;2,6019342;246,9393478;2,6019342;0,272268355;0,09561098;117
13;pawar;0,631389294;236,1172237;2,9297771;0,231103747;0,029661114;236,6435395;3,1082668;250,0546824;5,7172689;0,057347017;0,020138236;116
17;sharpeschoolhigh;0,631389294;236,1172237;2,9297771;0,231103747;0,029661114;236,6435395;3,1082668;250,0546824;5,7172689;0,057347017;0,020138236;116
4;delong;0,631910968;237,2764697;4,0890231;0,129443401;0,016613472;238,0198326;4,4845599;254,0014202;9,6640066;0,007970538;0,00279897;115
16;rezende;0,637628012;238,4770092;5,2895626;0,071020884;0,009115207;239,003325;5,4680523;252,4144679;8,0770544;0,017623409;0,006188716;116
18;spain;0,640128865;239,4164767;6,2290301;0,044400034;0,005698542;239,9427925;6,4075198;253,3539354;9,0165219;0,011017604;0,003868991;116
7;hinshelwood;0,642790793;240,4124293;7,2249827;0,026984535;0,003463342;240,9387451;7,4034724;254,349888;10,0124745;0,006696052;0,002351416;116
;;;;;;;;;;;;;
;;;233,1874466;;7,791472181;;233,5352727;;244,3374136;;2,847668292;;
