Column1;model_name;sigma;AIC;Delta AIC;rel wAIC;Waic;AICc;Weighted AICc;BIC;Delta BIC;rel wBIC;wBIC;df,residual
6;gaussian;0,585668159;217,1066476;0;1;0,239142342;217,4544737;0;228,2566145;0;1;0,557561632;117
15;ratkowsky;0,587158935;218,6867249;1,580077321;0,45382725;0,108529311;219,2130407;1,758567023;232,6241836;4,367569064;0,11261453;0,062789541;116
21;weibull;0,587499566;218,8259167;1,719269098;0,423316756;0,10123296;219,3522325;1,897758801;232,7633754;4,506760841;0,105043532;0,058568243;116
12;oneill;0,587902933;218,9906398;1,883992226;0,389848876;0,093229373;219,5169556;2,062481929;232,9280985;4,671483969;0,096738677;0,053937775;116
11;modifiedgaussian;0,588144327;219,0891642;1,982516609;0,371109428;0,088747978;219,61548;2,161006311;233,0266229;4,770008352;0,092088595;0,051345067;116
13;pawar;0,590506153;220,0510081;2,944360549;0,229424731;0,054865167;220,5773239;3,122850252;233,9884668;5,731852292;0,056930381;0,031742196;116
17;sharpeschoolhigh;0,590506153;220,0510081;2,944360549;0,229424731;0,054865167;220,5773239;3,122850252;233,9884668;5,731852292;0,056930381;0,031742196;116
2;boatman;0,589422185;220,5710774;3,464429824;0,176892175;0,042302409;221,3144402;3,859966569;237,2960278;9,039413309;0,010892218;0,006073083;115
1;beta;0,590256542;220,9105694;3,803921885;0,149275611;0,035698119;221,6539323;4,199458629;237,6355199;9,37890537;0,009191716;0,005124948;115
19;thomas1;0,592857623;221,0048205;3,898172892;0,142404106;0,034054851;221,5311362;4,076662594;234,9422792;6,685664635;0,035336731;0,019702405;116
5;flinn;0,595324654;221,0314987;3,924851133;0,140517173;0,033603606;221,3793248;3,924851133;232,1814657;3,924851133;0,140517173;0,078346985;117
3;briere2;0,59333097;221,1963638;4,089716251;0,129398547;0,030944672;221,7226796;4,268205954;235,1338225;6,877207994;0,032109479;0,017903013;116
10;lactin2;0,593510391;221,2689282;4,162280672;0,124787831;0,029842054;221,795244;4,340770374;235,206387;6,949772415;0,030965357;0,017265095;116
4;delong;0,59117086;221,2820462;4,17539861;0,12397203;0,029646961;222,025409;4,570935355;238,0069966;9,750382096;0,007633636;0,004256222;115
20;thomas2;0,596050886;223,2550775;6,148429967;0,046225902;0,011054571;223,9984404;6,543966712;239,980028;11,72341345;0,002846382;0,001587033;115
8;joehnk;0,59882664;224,3701409;7,26349329;0,02646991;0,006330076;225,1135037;7,659030035;241,0950913;12,83847678;0,001629897;0,000908768;115
9;kamykowski;0,599705354;224,7220572;7,615409604;0,022199072;0,005308738;225,46542;8,010946349;241,4470076;13,19039309;0,001366918;0,000762141;115
16;rezende;0,615494395;229,997996;12,89134847;0,001587374;0,000379608;230,5243118;13,06983818;243,9354548;15,67884022;0,000393897;0,000219622;116
18;spain;0,620454394;231,9242997;14,81765214;0,000605882;0,000144892;232,4506155;14,99614184;245,8617584;17,60514388;0,000150346;8,38271E-05;116
7;hinshelwood;0,625310639;233,7954466;16,68879906;0,000237724;5,68499E-05;234,3217624;16,86728876;247,7329053;19,4762908;5,89898E-05;3,28905E-05;116
14;quadratic;0,633255514;235,8556032;18,74895561;8,48625E-05;2,02942E-05;236,2034293;18,74895561;247,0055701;18,74895561;8,48625E-05;4,73161E-05;117
;;;;;;;;;;;;;
;;;217,1066476;;4,181609971;;217,4544737;;228,2566145;;1,793523699;;
