Column1;model_name;sigma;AIC;Delta AIC ;rel wAIC;wAIC;AICc;Weighted AICc ;BIC;delta BIC ;rel wBIC;wBIC;df,residual
15;ratkowsky;0,618539731;231,1825374;0;1;0,302221228;231,7088532;0;245,1199961;0;1;0,283648336;116
2;boatman;0,617332751;231,6747912;0,4922538;0,781823005;0,236283509;232,418154;0,7093008;248,3997416;3,2797455;0,194004728;0,055029118;115
13;pawar;0,622173888;232,5885029;1,4059655;0,495106321;0,14963164;233,1148187;1,4059655;246,5259616;1,4059655;0,495106321;0,140436084;116
17;sharpeschoolhigh;0,622173888;232,5885029;1,4059655;0,495106321;0,14963164;233,1148187;1,4059655;246,5259616;1,4059655;0,495106321;0,140436084;116
6;gaussian;0,629862662;234,5662756;3,3837382;0,184174961;0,055661583;234,9141017;3,2052485;245,7162426;0,5962465;0,742209857;0,210526591;117
5;flinn;0,633208912;235,8379406;4,6554032;0,097519629;0,029472502;236,1857667;4,4769135;246,9879076;1,8679115;0,392996037;0,111472672;117
11;modifiedgaussian;0,631238719;236,0599813;4,8774439;0,087272319;0,026375547;236,5862971;4,8774439;249,99744;4,8774439;0,087272319;0,024754648;116
12;oneill;0,633009991;236,732484;5,5499466;0,062351141;0,018843839;237,2587998;5,5499466;250,6699428;5,5499467;0,062351138;0,017685797;116
1;beta;0,632773031;237,6036585;6,4211211;0,040333998;0,01218979;238,3470213;6,6381681;254,3286089;9,2086128;0,010008642;0,002838935;115
4;delong;0,634408785;238,2232717;7,0407343;0,02958857;0,008942294;238,9666345;7,2577813;254,9482222;9,8282261;0,007342227;0,002082611;115
3;briere2;0,641857079;240,0635535;8,8810161;0,011789947;0,003563172;240,5898693;8,8810161;254,0010122;8,8810161;0,011789947;0,003344199;116
19;thomas1;0,643533844;240,6897034;9,507166;0,008620752;0,002605374;241,2160192;9,507166;254,6271621;9,507166;0,008620752;0,002445262;116
10;lactin2;0,644516614;241,0559388;9,8734014;0,007178243;0,002169417;241,5822546;9,8734014;254,9933976;9,8734015;0,007178242;0,002036096;116
20;thomas2;0,646769122;242,85428;11,6717426;0,002920877;0,000882751;243,5976428;11,8887896;259,5792305;14,4592344;0,000724798;0,000205588;115
14;quadratic;0,652993526;243,2219756;12,0394382;0,002430352;0,000734504;243,5698016;11,8609484;254,3719425;9,2519464;0,009794119;0,002778085;117
9;kamykowski;0,648553478;243,5154987;12,3329613;0,002098609;0,000634244;244,2588615;12,5500083;260,2404491;15,120453;0,000520757;0,000147712;115
16;rezende;0,662208157;247,554981;16,3724436;0,000278464;8,42E-05;248,0812968;16,3724436;261,4924398;16,3724437;0,000278464;7,90E-05;116
18;spain;0,666055182;248,9452003;17,7626629;0,000138959;4,20E-05;249,4715161;17,7626629;262,882659;17,7626629;0,000138959;3,94E-05;116
8;joehnk;0,667117414;250,2886823;19,1061449;7,10E-05;2,15E-05;251,0320452;19,323192;267,0136328;21,8936367;1,76E-05;5,00E-06;115
21;weibull;0,674440278;251,9477458;20,7652084;3,10E-05;9,36E-06;252,4740616;20,7652084;265,8852045;20,7652084;3,10E-05;8,78E-06;116
7;hinshelwood;0,773193394;284,7428035;53,5602661;2,34E-12;7,08E-13;285,2691193;53,5602661;298,6802622;53,5602661;2,34E-12;6,64E-13;116
;;;;;;;;;;;;;
;;;231,1825374;;3,308834416;;231,7088532;;245,1199961;;3,525492208;;
