Temp;Distance_travelled;Spread_rate
13;49.49012;3464.3084
13;6.931811;485.22677
13;0.0;0
13;0.0;0
13;0.0;0
13;129.4681;9062.767
13;0.0;0
13;0.0;0
13;5.5763;390.341
13;106.6291;7464.037
13;8.62949;604.0643
13;2.2921;160.447
13;87.39297;6117.5079
13;7.858973;550.12811
13;8.457245;592.00715
13;43.578336;3050.48352
13;87.74455;6142.1185
13;0.0;0
13;77.5438;5428.066
13;119.9977;8399.839
18;1590.861;159086.1
18;1287.858;128785.8
18;207.1624;20716.24
18;634.2604;63426.04
18;1338.587;133858.7
18;484.5801;48458.01
18;1422.492;142249.2
18;2172.034;217203.4
18;1660.952;166095.2
18;3663.228;366322.8
18;70.70725;7070.725
18;542.2205;54222.05
18;292.052;29205.2
18;1543.693;154369.3
18;784.5944;78459.44
18;453.8265;45382.65
18;63.7339;6373.39
18;0.0;0
18;1059.023;105902.3
18;395.5877;39558.77
23;1000.232;5001.16
23;1016.483;5082.415
23;736.5313;3682.6565
23;5414.175;27070.875
23;707.5916;3537.958
23;8883.782;44418.91
23;2419.161;12095.805
23;1505.573;7527.865
23;633.5582;3167.791
23;893.7014;4468.507
23;3346.999;16734.995
23;1338.932;4611.177
23;922.2354;3769.417
23;753.8834;3383.826
23;676.7652;10278.26
23;2055.652;5561.32
23;1112.264;10008.36
23;2001.672;12074.89
23;2414.978;9649.685
23;1929.937;6694.66
28;6881.4392;688143.92
28;3458.949;345894.9
28;4276.74929;427674.929
28;4314.752;431475.2
28;1224.70276;122470.276
28;2778.861;277886.1
28;767.5419;76754.19
28;2243.516;224351.6
28;3392.986;339298.6
28;3392.986;339298.6
28;46.28968;4628.968
28;3133.721;313372.1
28;4055.312;405531.2
28;2412.683;241268.3
28;2409.106;240910.6
28;3667.405;366740.5
28;1060.792;106079.2
28;3395.907;339590.7
28;4014.361;401436.1
28;3459.329;345932.9
33;1790.7991;17907.991
33;6131.509;61315.09
33;5234.941;52349.41
33;3144.271;31442.71
33;3411.007;34110.07
33;4892.657;48926.57
33;2834.339;28343.39
33;3920.873;39208.73
33;3259.009;32590.09
33;3272.475;32724.75
33;2259.625;22596.25
33;574.522;5745.22
33;1323.621;13236.21
33;4811.854;48118.54
33;1663.771;16637.71
33;5634.651;56346.51
33;2551.725;25517.25
33;1005.717;10057.17
33;4151.66;41516.6
33;3083.918;30839.18
38;566.2773;56627.73
38;1376.154;137615.4
38;1395.283;139528.3
38;561.4863;56148.63
38;2153.793;215379.3
38;596.5386;59653.86
38;1387.071;138707.1
38;1463.665;146366.5
38;1588.344;158834.4
38;1582.431;158243.1
38;1650.452;165045.2
38;1007.728;100772.8
38;2277.564;227756.4
38;4023.969;402396.9
38;2772.9824;277298.24
38;5115.478;511547.8
38;1235.179;123517.9
38;1551.391;155139.1
38;1338.932;133893.2
38;2151.2805;215128.05
