Column1;model_name;sigma;AIC;Delta AIC ;rel wAIC;Weighted AIC;AICc;Weighted AICc;BIC;Delta BIC ;rel wBIC ;Weighted BIC;df,residual
6;gaussian;1330,58973;2071,917718;0;1;0,228543134;2072,265544;0;2083,067685;0;1;0,588727938;117
14;ratkowsky;1330,533629;2072,877549;0,95983145;0,618835542;0,141430614;2073,403865;1,138321153;2086,815008;3,747323193;0,153560355;0,090405271;116
20;weibull;1333,604219;2073,430781;1,513062578;0,469291443;0,107253337;2073,957096;1,691552281;2087,368239;4,300554321;0,116451877;0,068558474;116
11;oneill;1334,916143;2073,666763;1,749044963;0,417061127;0,095316457;2074,193079;1,927534666;2087,604222;4,536536706;0,103491235;0,060928182;116
10;modifiedgaussian;1336,296618;2073,914826;1,997107592;0,368411855;0,084198;2074,441141;2,175597295;2087,852284;4,784599335;0,091419208;0,053821042;116
2;boatman;1334,760877;2074,599879;2,682160901;0,26156291;0,059778407;2075,343242;3,077697646;2091,324829;8,257144387;0,016105858;0,009481969;115
12;pawar;1340,477495;2074,664542;2,746824262;0,253241391;0,057876581;2075,190858;2,925313965;2088,602001;5,534316005;0,062840343;0,036995866;116
16;sharpeschoolhigh;1340,477495;2074,664542;2,746824262;0,253241391;0,057876581;2075,190858;2,925313965;2088,602001;5,534316005;0,062840343;0,036995866;116
1;beta;1335,340221;2074,704027;2,786308795;0,24829086;0,056745171;2075,44739;3,18184554;2091,428977;8,361292281;0,015288626;0,009000841;115
8;joehnk;1335,788656;2074,78461;2,866892208;0,238485658;0,05450426;2075,527973;3,262428953;2091,509561;8,441875693;0,014684866;0,008645391;115
4;delong;1343,023747;2076,081025;4,163307079;0,124723806;0,028504769;2076,824388;4,558843824;2092,805976;9,738290565;0,007679927;0,004521387;115
17;spain;1358,657806;2077,897682;5,979964008;0,050288342;0,011493055;2078,423998;6,158453711;2091,835141;8,767455751;0,012478753;0,00734659;116
3;briere2;1361,143259;2078,336323;6,418605424;0,040384763;0,00922966;2078,862639;6,597095127;2092,273782;9,206097167;0,010021239;0,005899783;116
13;quadratic;1369,411403;2078,819822;6,902103546;0,031712265;0,00724762;2079,167648;6,902103546;2089,969789;6,902103546;0,031712265;0,018669896;117
15;rezende;1466,513999;2096,231486;24,31376796;5,25209E-06;1,20033E-06;2096,757802;24,49225766;2110,168945;27,1012597;1,30328E-06;7,67275E-07;116
18;thomas1;1467,00745;2096,312227;24,39450939;5,04428E-06;1,15284E-06;2096,838543;24,5729991;2110,249686;27,18200114;1,25171E-06;7,36916E-07;116
9;lactin2;1657,355984;2125,591981;53,67426313;2,21198E-12;5,05534E-13;2126,118297;53,85275283;2139,52944;56,46175487;5,4889E-13;3,23147E-13;116
19;thomas2;1751,527191;2139,816502;67,89878428;1,80288E-15;4,12035E-16;2140,559865;68,29432103;2156,541453;73,47376777;1,11013E-16;6,53565E-17;115
5;flinn;2378,262119;2211,297183;139,3794645;5,42168E-31;1,23909E-31;2211,645009;139,3794645;2222,447149;139,3794645;5,42168E-31;3,19189E-31;117
7;hinshelwood;2560,733506;2230,008827;158,0911091;4,68761E-35;1,07132E-35;2230,535143;158,2695988;2243,946286;160,8786008;1,1632E-35;6,8481E-36;116
;;;;;;;;;;;;;
;;;2071,917718;;4,375541649;;2072,265544;;2083,067685;;1,69857745;;
