Column1;param;conf_lower;conf_upper;method;estimate
1;rmax;3281.45530224053;5021.51604557928;case bootstrap;3914.52442820635
2;topt;29.024274610224;30.6803303701325;case bootstrap;29.852
3;ctmin;14.4858172256122;18.4663455252639;case bootstrap;16.575
4;ctmax;40.6350062371091;45.4267474774946;case bootstrap;43.129
5;e;1.13584027362705;1.96449152379253;case bootstrap;1.43678490259611
6;eh;1.020446703172;2.11177704251631;case bootstrap;1.49503463682121
7;thermal_safety_margin;11.1968736912669;15.2978173330751;case bootstrap;13.277
8;thermal_tolerance;22.3937900337147;30.5966471239069;case bootstrap;26.554
9;breadth;6.10366899608354;8.36303186640966;case bootstrap;7.252
10;skewness;-0.595680660661608;0.696034880398287;case bootstrap;-0.0582497342251052
