Column1;model_name;sigma;AIC;Delta AIC;rel wAIC;Weighted AIC ;AICc;Weighted AICc;BIC;Delta BIC ;rel wAIC;wAIC ;df,residual
5;gaussian;1298,820451;2066,11794;0;1;0,322666266;2066,465766;0;2077,267907;0;1;0,68652974;117
10;modifiedgaussian;1303,821825;2068,010285;1,892345199;0,388224073;0,125266812;2068,536601;2,070834902;2081,947744;4,679836942;0,096335492;0,06613718;116
14;ratkowsky;1304,472751;2068,130074;2,012133969;0,365654279;0,117984301;2068,656389;2,190623671;2082,067532;4,799625711;0,090734932;0,062292229;116
11;oneill;1304,566143;2068,147255;2,029315759;0,362526436;0,116975052;2068,673571;2,207805462;2082,084714;4,816807502;0,089958777;0,061759376;116
12;pawar;1305,727903;2068,360888;2,242948804;0,325799082;0,105124373;2068,887204;2,421438507;2082,298347;5,030440547;0,080845102;0,055502567;116
17;sharpeschoolhigh;1305,727903;2068,360888;2,242948804;0,325799082;0,105124373;2068,887204;2,421438507;2082,298347;5,030440547;0,080845102;0,055502567;116
2;boatman;1309,6422;2070,040314;3,922374301;0,1406913;0,045396336;2070,783677;4,317911046;2086,765264;9,497357787;0,008663133;0,005947498;115
1;beta;1310,025621;2070,110568;3,992628453;0,135835019;0,043829378;2070,853931;4,388165198;2086,835519;9,567611939;0,008364105;0,005742207;115
16;sharpeschoolfull;1314,802959;2071,936155;5,818215159;0,054524367;0,017593174;2072,936155;6,470389072;2091,448597;14,18069039;0,00083311;0,000571955;114
19;spain;1400,771462;2085,22388;19,10594015;7,09901E-05;2,29061E-05;2085,750196;19,28442986;2099,161339;21,8934319;1,76158E-05;1,20938E-05;116
7;joehnk;1398,998078;2085,880878;19,76293882;5,11131E-05;1,64925E-05;2086,624241;20,15847556;2102,605829;25,3379223;3,14731E-06;2,16072E-06;115
3;briere2;1451,494307;2093,760788;27,64284883;9,94104E-07;3,20764E-07;2094,287104;27,82133853;2107,698247;30,43034057;2,46681E-07;1,69354E-07;116
13;quadratic;1474,177271;2096,51239;30,39445078;2,51148E-07;8,10368E-08;2096,860217;30,39445078;2107,662357;30,39445078;2,51148E-07;1,7242E-07;117
8;johnson_lewin;1469,546442;2096,727243;30,60930349;2,25566E-07;7,27826E-08;2097,253559;30,78779319;2110,664702;33,39679523;5,59729E-08;3,84271E-08;116
15;rezende;1482,197354;2098,784493;32,66655363;8,06395E-08;2,60197E-08;2099,310809;32,84504333;2112,721952;35,45404537;2,00102E-08;1,37376E-08;116
20;thomas1;1482,313409;2098,803284;32,68534471;7,98854E-08;2,57763E-08;2099,3296;32,86383442;2112,740743;35,47283646;1,98231E-08;1,36091E-08;116
4;flinn;1502,113446;2101,017917;34,89997761;2,63977E-08;8,51765E-09;2101,365743;34,89997761;2112,167884;34,89997761;2,63977E-08;1,81228E-08;117
18;sharpeschoollow;1517,50359;2104,434315;38,31637535;4,78305E-09;1,54333E-09;2104,960631;38,49486505;2118,371774;41,10386709;1,18689E-09;8,14832E-10;116
9;lactin2;1696,16128;2131,146559;65,02861961;7,57207E-15;2,44325E-15;2131,672875;65,20710931;2145,084018;67,81611136;1,87896E-15;1,28996E-15;116
21;thomas2;1925,337509;2162,523669;96,40572914;1,16349E-21;3,75418E-22;2163,267032;96,80126589;2179,248619;101,9807126;7,16423E-23;4,91846E-23;115
6;hinshelwood;2602,574375;2233,898593;167,7806529;3,68888E-37;1,19028E-37;2234,424908;167,9591426;2247,836051;170,5681446;9,15373E-38;6,28431E-38;116
;;;;;;;;;;;;;
;;;2066,11794;;3,099177402;;2066,465766;;2077,267907;;1,456601137;;
