Column1;model_name;sigma;AIC;Delta AIC;rel wAIC;Weighted AIC;AICc;Weighted AICc;BIC;delta BIC;rel Wbic;Weighted BIC;df,residual
13;pawar;1310,470734;2069,231068;0;1;0,265483669;2069,757383;0;2083,168526;0;1;0,272907187;116
18;sharpeschoolhigh;1310,470734;2069,231068;0;1;0,265483669;2069,757383;0;2083,168526;0;1;0,272907187;116
15;ratkowsky;1314,532321;2069,973757;0,742689949;0,689805935;0,18313221;2070,500073;0,742689949;2083,911216;0,742689949;0,689805935;0,188252997;116
2;boatman;1311,103135;2070,30789;1,076822672;0,583674779;0,154956122;2071,051253;1,293869715;2087,032841;3,864314415;0,144835421;0,039526627;115
6;gaussian;1335,68651;2072,835274;3,604206229;0,164951611;0,043791959;2073,1831;3,425716526;2083,985241;0,816714486;0,664741362;0,181412695;117
17;sharpeschoolfull;1321,915267;2073,230914;3,999846818;0,135345649;0,035932059;2074,230914;4,473531028;2092,743357;9,574830303;0,008333972;0,002274401;114
11;modifiedgaussian;1337,821215;2074,188488;4,957420783;0,083851291;0,022261148;2074,714804;4,957420783;2088,125947;4,957420783;0,083851291;0,02288362;116
12;oneill;1342,486167;2075,023907;5,792839531;0,055220569;0,014660159;2075,550223;5,792839531;2088,961366;5,792839531;0,055220569;0,01507009;116
4;delong;1344,94525;2076,424155;7,193087017;0,02741833;0,007279119;2077,167517;7,410134059;2093,149105;9,980578759;0,006803695;0,001856777;115
1;beta;1347,213825;2076,828631;7,597563921;0,022398037;0,005946313;2077,571994;7,814610964;2093,553582;10,38505566;0,00555794;0,001516802;115
19;sharpeschoollow;1377,304342;2081,1691;11,9380324;0,002556756;0,000678777;2081,695416;11,9380324;2095,106559;11,9380324;0,002556756;0,000697757;116
3;briere2;1390,305454;2083,423963;14,19289504;0,000828041;0,000219831;2083,950278;14,19289504;2097,361421;14,19289504;0,000828041;0,000225978;116
14;quadratic;1405,214992;2085,014052;15,78298494;0,000373911;9,92673E-05;2085,361879;15,60449524;2096,164019;12,9954932;0,001506831;0,000411225;117
20;spain;1410,048362;2086,808089;17,57702191;0,000152475;4,04796E-05;2087,334405;17,57702191;2100,745548;17,57702191;0,000152475;4,16115E-05;116
8;joehnk;1408,998973;2087,590442;18,35937462;0,000103113;2,73748E-05;2088,333805;18,57642166;2104,315393;21,14686636;2,55868E-05;6,98283E-06;115
7;hinshelwood;1434,669709;2090,962646;21,73157838;1,91006E-05;5,07091E-06;2091,488962;21,73157838;2104,900105;21,73157838;1,91006E-05;5,2127E-06;116
16;rezende;1450,445928;2093,58738;24,3563121;5,14155E-06;1,365E-06;2094,113695;24,3563121;2107,524838;24,3563121;5,14155E-06;1,40317E-06;116
21;thomas1;1450,490298;2093,594721;24,36365372;5,12271E-06;1,36E-06;2094,121037;24,36365372;2107,53218;24,36365372;5,12271E-06;1,39802E-06;116
9;johnson_lewin;1491,935494;2100,356153;31,1250851;1,7429E-07;4,62713E-08;2100,882468;31,1250851;2114,293611;31,1250851;1,7429E-07;4,75651E-08;116
10;lactin2;1575,994403;2113,511074;44,28000683;2,42504E-10;6,43808E-11;2114,03739;44,28000683;2127,448533;44,28000683;2,42504E-10;6,61811E-11;116
22;thomas2;1602,361825;2118,454245;49,22317724;2,04797E-11;5,43702E-12;2119,197608;49,44022429;2135,179195;52,01066899;5,08191E-12;1,38689E-12;115
5;flinn;2114,827999;2183,122014;113,8909467;1,85736E-25;4,93098E-26;2183,46984;113,712457;2194,271981;111,103455;7,48499E-25;2,04271E-25;117
;;;;;;;;;;;;;
;;;2069,231068;;3,766710037;;2069,757383;;2083,168526;;3,664249414;;
