Column1;model_name;sigma;AIC;deltaAIC;;weighted AIC;BIC;delta BIC;df,residual
3;flinn;3,731442406;661,5378781;0;1;0,200646824;672,6878451;;117
4;gaussian;3,752527852;662,8902406;1,352362504;0,508555334;0,102040012;674,0402076;;117
14;rezende;3,749241225;663,6498968;2,11201873;0,347841151;0,069793222;677,5873555;;116
11;pawar;3,750474431;663,7288251;2,190946957;0,334381247;0,067092535;677,6662838;;116
15;sharpeschoolhigh;3,750474431;663,7288251;2,190946957;0,334381247;0,067092535;677,6662838;;116
19;weibull;3,752029335;663,8283057;2,290427583;0,318155891;0,063836969;677,7657644;;116
10;oneill;3,752744394;663,8740403;2,336162241;0,31096307;0,062393752;677,8114991;;116
16;spain;3,753767085;663,9394358;2,401557694;0,300959719;0,060386612;677,8768945;;116
8;lactin2;3,753995941;663,9540674;2,416189313;0,298765989;0,059946447;677,8915261;;116
9;modifiedgaussian;3,754865715;664,0096673;2,471789165;0,290574703;0,058302891;677,947126;;116
2;briere2;3,76309444;664,5350477;2,997169633;0,223446154;0,044833761;678,4725064;;116
13;ratkowsky;3,76696327;664,7816645;3,24378644;0,197524388;0,039632641;678,7191232;;116
18;thomas2;3,769189199;665,8844731;4,346594978;0,113801738;0,022833957;682,6094235;;115
6;joehnk;3,769224435;665,8867167;4,348838576;0,113674146;0,022808356;682,6116671;;115
1;boatman;3,774037371;666,192978;4,655099944;0,097534417;0,019569971;682,9179285;;115
12;quadratic;3,80929871;666,4939366;4,956058488;0,083908426;0,016835959;677,6439036;;117
5;hinshelwood;3,805646235;667,2336574;5,695779339;0,05796652;0,011630798;681,1711161;;116
7;kamykowski;3,808390256;668,367677;6,829798899;0,032879713;0,00659721;685,0926275;;115
17;thomas1;3,841922302;669,5105436;7,972665458;0,018567682;0,003725546;683,4480023;;116
;;;;;;;;;
;;;661,5378781;;4,983881535;;;;
