Column1;model_name;sigma;AIC;delta AIC ;;Weighted AIC;BIC;df,residual
5;gaussian;3,510244224;646,8716585;0;1;0,167076296;658,0216255;117
3;briere2;3,506319721;647,5731357;0,701477218;0,704167793;0,117649747;661,5105944;116
13;ratkowsky;3,510944644;647,8894931;1,017834617;0,601146082;0,100437261;661,8269518;116
8;lactin2;3,512360535;647,9862606;1,114602144;0,572752798;0,095693416;661,9237193;116
19;weibull;3,51966444;648,4848191;1,613160571;0,446381958;0,074579844;662,4222778;116
9;modifiedgaussian;3,522415002;648,672302;1,800643558;0,406438855;0,067906299;662,6097608;116
10;oneill;3,523739993;648,7625634;1,890904902;0,388503752;0,064909768;662,7000221;116
1;beta;3,52092407;649,5317283;2,660069792;0,264468032;0,044186339;666,2566787;115
2;boatman;3,521700845;649,5846705;2,713011964;0,257559123;0,043032024;666,3096209;115
18;thomas2;3,522393459;649,6318667;2,7602082;0,251552365;0,042028438;666,3568171;115
11;pawar;3,53670816;649,6441969;2,772538398;0,250006291;0,041770125;663,5816556;116
15;sharpeschoolhigh;3,53670816;649,6441969;2,772538398;0,250006291;0,041770125;663,5816556;116
7;joehnk;3,526639384;649,9209906;3,049332117;0,217693742;0,036371464;666,6459411;115
14;rezende;3,552688087;650,7261477;3,854489188;0,145548692;0,024317736;664,6636064;116
4;flinn;3,572586688;651,096686;4,22502753;0,120933585;0,020205136;662,246653;117
16;spain;3,565692747;651,6030667;4,731408213;0,093883173;0,015685653;665,5405254;116
12;quadratic;3,646141408;655,9877814;9,116122916;0,01048236;0,001751354;667,1377484;117
17;thomas1;3,662557914;658,0358906;11,16423211;0,003764591;0,000628974;671,9733493;116
6;hinshelwood;8,250057582;852,929905;206,0582465;1,79896E-45;3,00563E-46;866,8673637;116
;;;646,8716585;;5,985289484;;;
