",""param"",""conf_lower"",""conf_upper"",""method"",""estimate"""
"1,""rmax"",1.10234540198464,1.24544851805186,""case bootstrap"",1.18463377170767"
"2,""topt"",26.6580897517854,31.1068585458662,""case bootstrap"",28.659"
"3,""ctmin"",11.389812972055,12.7147062778917,""case bootstrap"",12.231"
"4,""ctmax"",44.977,45.003169970408,""case bootstrap"",44.998"
"5,""e"",0.336160693358848,0.549889800944405,""case bootstrap"",0.440781657018234"
"6,""eh"",0.523152982560473,1.23479025472987,""case bootstrap"",1.01286124954828"
"7,""q10"",1.68242853078869,1.99473584917401,""case bootstrap"",1.79494549111385"
"8,""thermal_safety_margin"",13.8873296782241,18.3353730305791,""case bootstrap"",16.339"
"9,""thermal_tolerance"",32.2785919155257,33.5954306718957,""case bootstrap"",32.767"
"10,""breadth"",17.6878388208646,23.7086392431441,""case bootstrap"",21.517"
"11,""skewness"",-0.820436527081517,0.108690276337172,""case bootstrap"",-0.57207959253005"
