Column1;model_name;sigma;AIC;delta AIC;REL wAIC;WAIC;BIC;DELTA BIC;REL WBIC;WBIC;df,residual
8;kamykowski;0,25273211;19,09226138;0;1;0,488259717;36,74211591;0;1;0,484056428;135
16;thomas2;0,252732128;19,09228194;2,06E-05;0,9999897;0,488254688;36,74213647;2,056E-05;0,99998972;0,484051452;135
1;beta;0,258326634;25,22278733;6,130525954;0,046641575;0,022773202;42,87264187;6,13052596;0,046641574;0,022577154;135
12;quadratic;0,267598919;33,15570279;14,06344142;0,00088341;0,000431334;44,92227248;8,18015657;0,016737923;0,008102099;137
15;thomas1;0,26748645;34,01235103;14,92008966;0,00057563;0,000281057;48,72056315;11,97844724;0,002505609;0,001212856;136
9;lactin2;0,291323053;57,91424012;38,82197875;3,71462E-09;1,8137E-09;72,62245224;35,88033633;1,6169E-08;7,82672E-09;136
10;oneill;0,29412246;60,5919954;41,49973403;9,7375E-10;4,75443E-10;75,30020752;38,55809161;4,23854E-09;2,05169E-09;136
2;briere2;0,296732137;63,06540987;43,9731485;2,82717E-10;1,38039E-10;77,77362199;41,03150608;1,23061E-09;5,95686E-10;136
13;rezende;0,300276146;66,38976618;47,2975048;5,36386E-11;2,61896E-11;81,09797829;44,35586238;2,33478E-10;1,13017E-10;136
17;weibull;0,30184426;67,84818926;48,75592788;2,58693E-11;1,26309E-11;82,55640137;45,81428546;1,12604E-10;5,45068E-11;136
5;hinshelwood;0,303137542;69,0453146;49,95305323;1,42178E-11;6,94198E-12;83,75352672;47,01141081;6,18873E-11;2,9957E-11;136
4;gaussian;0,309901302;74,24978455;55,15752318;1,05365E-12;5,14454E-13;86,01635424;49,27423833;1,99634E-11;9,66343E-12;137
14;spain;0,312219303;77,31068949;58,21842811;2,28049E-13;1,11347E-13;92,0189016;55,27678569;9,92655E-13;4,80501E-13;136
11;pawar;0,315182184;79,9552896;60,86302823;6,07801E-14;2,96765E-14;94,66350172;57,92138581;2,64564E-13;1,28064E-13;136
7;johnson_lewin;0,315182184;79,9552896;60,86302823;6,07801E-14;2,96765E-14;94,66350172;57,92138581;2,64564E-13;1,28064E-13;136
6;joehnk;0,340637012;102,6687212;83,57645985;7,10563E-19;3,46939E-19;120,3185758;83,57645989;7,10563E-19;3,43952E-19;135
3;flinn;0,344637299;103,9966174;84,90435606;3,65808E-19;1,78609E-19;115,7631871;79,02107119;6,93094E-18;3,35497E-18;137
;;;;;;;;;;;
;;;19,09226138;;2,04809032;;36,74211591;;2,065874848;;
