"","param","conf_lower","conf_upper","method","estimate"
"1","rmax",1.23519905438897,1.359782729407,"case bootstrap",1.30502832929789
"2","topt",27.5648180472897,30.2274340510417,"case bootstrap",28.876
"3","ctmin",12.758,13.031,"case bootstrap",12.955
"4","ctmax",44.9402988022757,45.0836376587905,"case bootstrap",45.001
"5","e",0.602897681045279,1.09461668296346,"case bootstrap",0.716615937125456
"6","eh",0.716740633316431,1.32103780813516,"case bootstrap",1.08589196734901
"7","q10",2.22830625520314,4.42442731178383,"case bootstrap",2.58777761805562
"8","thermal_safety_margin",14.803969167538,17.460650587332,"case bootstrap",16.125
"9","thermal_tolerance",31.9386945084639,32.221,"case bootstrap",32.046
"10","breadth",14.34866024753,16.6905496902267,"case bootstrap",14.8
"11","skewness",-0.642576311475794,0.38966320905187,"case bootstrap",-0.369276030223557
